Country of Asylum,Total Nepalese Asylum Seekers
Albania,9
Argentina,8
Australia,4458
Austria,844
Azerbaijan,22
Belgium,4511
Bosnia and Herzegovina,18
Brazil,409
Bulgaria,29
Cambodia,5
Canada,1903
Chile,6
China,1184
Colombia,111
Costa Rica,220
Croatia,5
Cyprus,2061
Czechia,5
Democratic Republic of the Congo,5
Denmark,163
Ecuador,58
Estonia,5
Finland,128
France,1870
Georgia,19
Germany,1540
Greece,534
Guatemala,98
Honduras,6
Hungary,148
Indonesia,53
Ireland,282
Israel,253
Italy,442
Japan,17311
Kuwait,5
Latvia,10
Lithuania,5
Luxembourg,5
Malaysia,386
Malta,29
Mexico,89
Micronesia,26
Montenegro,32
Nauru,15
Netherlands,1329
Nicaragua,41
Norway,1554
New Zealand,145
Panama,18
Papua New Guinea,17
Peru,15
Poland,149
Portugal,16
Republic of Korea,1858
Romania,25
Russia,10
Senegal,5
Serbia,9
Slovakia,124
Slovenia,37
South Africa,562
Spain,124
Sri Lanka,5
Sweden,709
Switzerland,530
Thailand,393
Turkey,28
Ukraine,59
United Kingdom and Northern Ireland,2612
United States of America,19910
