Year,Country,CountryID,Lat,Long,Total
2001,Australia,AU,25.2744,133.7751,149
2001,Austria,AT,47.5162,14.5501,23
2001,Belgium,BE ,50.5037,4.4699,555
2001,Canada,CA,56.1304,106.3468,51
2001,Denmark,DK,56.2639,9.5018,5
2001,France,FR,46.2276,2.2137,7
2001,Germany,DE,51.1567,10.4515,198
2001,Hungary,HU,47.1625,19.5033,6
2001,Malaysia,MY,4.2105,101.9758,5
2001,Netherlands,NL,52.1326,5.2913,12
2001,New Zealand,NZ,40.9006,174.886,17
2001,Norway,NO,60.472,8.4689,97
2001,Slovakia,SK,48.669,19.699,14
2001,Spain,ES,40.4637,3.7492,16
2001,Sweden,SE,60.1282,18.6435,6
2001,Switzerland,CH,46.8182,8.2275,38
2001,United Kingdom of Great Britain and Northern Ireland,GB,55.3781,3.436,640
2001,United States of America,US,37.0902,95.7129,122
