Country,Year BS,Year AD,No of Nepalese People migrating out
Qatar,2063/064,2006/07,59642
Malasia,2063/064,2006/07,74029
Saudi Arabia,2063/064,2006/07,39279
U.A.E,2063/064,2006/07,25172
Kuwait,2063/064,2006/07,2441
Baharin,2063/064,2006/07,1200
Oman,2063/064,2006/07,509
South Korea,2063/064,2006/07,765
Isarel,2063/064,2006/07,405
Afghanistan,2063/064,2006/07,182
Others,2063/064,2006/07,846
Qatar,2064/065,2007/08,85442
Malasia,2064/065,2007/08,50554
Saudi Arabia,2064/065,2007/08,42394
U.A.E,2064/065,2007/08,45342
Kuwait,2064/065,2007/08,1967
Baharin,2064/065,2007/08,5099
Oman,2064/065,2007/08,2626
South Korea,2064/065,2007/08,146
Lebanon,2064/065,2007/08,2563
Isarel,2064/065,2007/08,110
Afghanistan,2064/065,2007/08,1400
Japan,2064/065,2007/08,1306
Others,2064/065,2007/08,10102
Qatar,2065/066,2008/09,76175
Malasia,2065/066,2008/09,35070
Saudi Arabia,2065/066,2008/09,48749
U.A.E,2065/066,2008/09,31688
Kuwait,2065/066,2008/09,2291
Baharin,2065/066,2008/09,6360
Oman,2065/066,2008/09,4247
South Korea,2065/066,2008/09,2909
Lebanon,2065/066,2008/09,3379
Isarel,2065/066,2008/09,3378
Afghanistan,2065/066,2008/09,1538
Japan,2065/066,2008/09,1872
Others,2065/066,2008/09,2354
Qatar,2066/067,2009/10,55940
Malasia,2066/067,2009/10,113982
Saudi Arabia,2066/067,2009/10,63400
U.A.E,2066/067,2009/10,33188
Kuwait,2066/067,2009/10,8255
Baharin,2066/067,2009/10,4234
Oman,2066/067,2009/10,3285
South Korea,2066/067,2009/10,2532
Lebanon,2066/067,2009/10,3788
Isarel,2066/067,2009/10,316
Afghanistan,2066/067,2009/10,735
Japan,2066/067,2009/10,516
Others,2066/067,2009/10,3923
Qatar,2067/068,2010/11,102966
Malasia,2067/068,2010/11,105906
Saudi Arabia,2067/068,2010/11,71116
U.A.E,2067/068,2010/11,44464
Kuwait,2067/068,2010/11,15187
Baharin,2067/068,2010/11,4647
Oman,2067/068,2010/11,2442
South Korea,2067/068,2010/11,3728
Lebanon,2067/068,2010/11,151
Isarel,2067/068,2010/11,273
Afghanistan,2067/068,2010/11,655
Japan,2067/068,2010/11,603
Others,2067/068,2010/11,2578
Qatar,2068/069,2011/12,105681
Malasia,2068/069,2011/12,98367
Saudi Arabia,2068/069,2011/12,80455
U.A.E,2068/069,2011/12,54482
Kuwait,2068/069,2011/12,24575
Baharin,2068/069,2011/12,5865
Oman,2068/069,2011/12,3163
South Korea,2068/069,2011/12,5627
Lebanon,2068/069,2011/12,243
Isarel,2068/069,2011/12,1046
Afghanistan,2068/069,2011/12,823
Japan,2068/069,2011/12,1144
Others,2068/069,2011/12,3094
Others,2068/069,2011/12,3666
